Time,Threat Type,Source IP,Confidence,Response Level,Status
9/3/2025, 3:49:50 AM,Benign,95.203.50.188,99.7%,Log Only,Detected
9/3/2025, 3:48:26 AM,DoS,218.151.245.226,85.3%,Auto Proposal,Proposal Created
9/3/2025, 3:29:23 AM,Benign,102.95.54.81,80.4%,Log Only,Detected
9/3/2025, 3:00:57 AM,Benign,29.136.107.169,99.7%,Log Only,Detected
9/3/2025, 3:00:56 AM,Benign,54.67.51.205,99.3%,Log Only,Detected
9/3/2025, 2:58:50 AM,DoS,20.27.184.131,98.2%,Auto Response,Executed
9/3/2025, 2:57:02 AM,DoS,59.15.96.133,87.4%,Auto Proposal,Proposal Created
9/3/2025, 2:57:01 AM,Benign,166.15.75.28,100.0%,Log Only,Detected
9/3/2025, 2:57:01 AM,Benign,4.248.65.142,100.0%,Log Only,Detected
9/3/2025, 2:56:59 AM,Benign,99.155.202.182,99.4%,Log Only,Detected
9/3/2025, 2:53:54 AM,Benign,211.161.133.218,93.9%,Log Only,Detected
9/3/2025, 2:53:08 AM,Benign,219.1.34.49,99.9%,Log Only,Detected
9/2/2025, 6:59:49 AM,Benign,144.83.103.209,99.6%,Log Only,Detected
9/2/2025, 6:55:39 AM,DoS,193.39.254.164,99.9%,Auto Response,Executed
8/31/2025, 3:38:21 PM,Benign,74.222.49.249,99.7%,Log Only,Detected
8/31/2025, 3:34:54 PM,Benign,90.170.198.147,93.3%,Log Only,Detected
8/31/2025, 3:25:37 PM,DoS,20.194.192.32,99.3%,Auto Response,Executed
8/31/2025, 3:25:32 PM,Brute_Force,104.145.132.136,97.8%,Auto Response,Executed
8/31/2025, 3:25:30 PM,Benign,127.42.120.112,99.1%,Log Only,Detected
8/31/2025, 3:25:29 PM,Benign,173.51.74.222,99.0%,Log Only,Detected
8/31/2025, 3:25:23 PM,Brute_Force,96.213.104.157,97.8%,Auto Response,Executed
8/31/2025, 3:09:41 PM,Benign,81.143.223.69,99.8%,Log Only,Detected
8/31/2025, 3:09:41 PM,Benign,66.116.166.241,99.9%,Log Only,Detected
8/31/2025, 3:09:41 PM,Benign,64.113.15.223,98.0%,Log Only,Detected
8/31/2025, 3:09:32 PM,Benign,193.22.199.142,62.1%,Log Only,Detected
8/31/2025, 3:01:19 PM,Benign,236.96.156.208,99.5%,Log Only,Detected
8/31/2025, 3:01:06 PM,DoS,3.168.190.86,99.6%,Auto Response,Executed
8/31/2025, 3:01:04 PM,Benign,125.58.27.146,61.2%,Log Only,Detected
8/31/2025, 2:57:37 PM,Benign,215.127.129.137,99.3%,Log Only,Detected
8/31/2025, 2:54:01 PM,Benign,101.115.7.25,99.4%,Log Only,Detected
8/31/2025, 2:39:44 PM,Benign,205.72.110.148,100.0%,Log Only,Detected
8/31/2025, 2:27:33 PM,Benign,221.178.11.20,99.1%,Log Only,Detected
8/31/2025, 2:11:00 PM,Benign,201.124.158.142,98.3%,Log Only,Detected
8/29/2025, 12:19:27 PM,Benign,118.250.14.123,99.4%,Log Only,Detected
8/29/2025, 12:19:27 PM,Benign,95.140.175.88,99.3%,Log Only,Detected
8/29/2025, 12:19:27 PM,Benign,13.111.92.14,99.7%,Log Only,Detected
8/29/2025, 12:19:27 PM,Benign,177.95.91.81,99.5%,Log Only,Detected
8/29/2025, 12:19:27 PM,DDoS,37.157.24.154,73.6%,Manual Decision,Awaiting Decision
8/29/2025, 12:19:27 PM,Benign,26.59.226.110,99.4%,Log Only,Detected
8/29/2025, 12:19:27 PM,Benign,101.23.163.45,99.2%,Log Only,Detected
8/29/2025, 12:19:27 PM,Benign,170.194.136.159,94.9%,Log Only,Detected
8/29/2025, 12:19:27 PM,Benign,95.124.1.88,98.5%,Log Only,Detected
8/29/2025, 12:19:27 PM,Benign,124.156.16.203,99.8%,Log Only,Detected
8/29/2025, 12:19:27 PM,Benign,246.192.73.159,99.1%,Log Only,Detected
8/29/2025, 12:19:27 PM,Benign,84.211.58.59,100.0%,Log Only,Detected
8/29/2025, 12:19:27 PM,Benign,60.145.182.242,99.4%,Log Only,Detected
8/29/2025, 12:19:27 PM,Benign,237.83.24.47,92.0%,Log Only,Detected
8/29/2025, 12:19:27 PM,Benign,105.168.211.189,99.8%,Log Only,Detected
8/29/2025, 12:19:26 PM,Benign,129.250.84.28,99.4%,Log Only,Detected
8/29/2025, 12:19:26 PM,Benign,232.209.176.150,99.8%,Log Only,Detected
